Target	Alias	Gene	Barcode	Filtered	Counts	Corr_Within	Corr_Between
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actl6a-P1P2	ACTL6A_-_179280860.23-P1P2	0	75952.0	0.9755032987918721	0.9679349414729164
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actl6a-P1P2	ACTL6A___179280744.23-P1P2	0	439850.0	0.9859925514707844	0.993098841161886
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actl6a-P1P2	ACTL6A___179280849.23-P1P2	0	379484.0	0.9841943635941498	0.9918477415912131
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actr5-P1P2	ACTR5_-_37377127.23-P1P2	0	592174.0	0.9978139853771016	0.9974688923879179
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actr5-P1P2	ACTR5___37377138.23-P1P2	0	760782.0	0.9970549128709509	0.9968387030485749
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actr5-P1P2	ACTR5___37377152.23-P1P2	0	505170.0	0.9958968509499462	0.9886797783566231
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actr8-P1P2	ACTR8___53916118.23-P1P2	0	746934.0	0.9989849236396522	0.9949689078327897
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actr8-P1P2	ACTR8___53916142.23-P1P2	0	1518294.0	0.99909088915294	0.9961434271606544
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Actr8-P1P2	ACTR8___53916157.23-P1P2	0	603430.0	0.9994248808524078	0.9965683407525334
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aicda-P1P2	AICDA___8765346.23-P1P2	0	1329698.0	0.9992830018857064	0.9962416131755859
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aicda-P1P2	AICDA___8765359.23-P1P2	0	1129694.0	0.9994416581262124	0.9969883808515746
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Aicda-P1P2	AICDA___8765390.23-P1P2	0	1253086.0	0.9994820150617207	0.9957532853067772
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Alkbh2-P1P2	ALKBH2_-_109531258.23-P1P2	0	1376718.0	0.9987835601223006	0.9939442679835836
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Alkbh2-P1P2	ALKBH2___109531240.23-P1P2	0	651430.0	0.9988084783053046	0.9931523228776895
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Alkbh2-P1P2	ALKBH2___109531250.23-P1P2	0	1067866.0	0.9986397929117812	0.9977411011993046
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Alkbh3-P1P2	ALKBH3_-_43902408.23-P1P2	0	1322990.0	0.996694882076457	0.9899430190473215
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Alkbh3-P1P2	ALKBH3_-_43902421.23-P1P2	0	1337012.0	0.9962525742533501	0.9984337776998543
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Alkbh3-P1P2	ALKBH3___43902434.23-P1P2	0	1418976.0	0.998167828454714	0.9933115930563567
